city, county, latitude, longitude
Maple Point, Cumberland, 391956N, 0880647W
Barstow, Rock Island, 413106N, 0902125W
Maples Mill, Fulton, 402542N, 0900150W
Bartelso, Clinton, 383211N, 0892759W
Mapleton, Peoria, 403359N, 0894354W
Bartlett, Cook, 415942N, 0881108W
Maplewood Park, St Clair, 383432N, 0901034W
Bartonville, Peoria, 403901N, 0893907W
Maquon, Knox, 404756N, 0900956W
Basco, Hancock, 401940N, 0911200W
Marblehead, Adams, 395023N, 0912206W
Batavia, Kane, 415100N, 0881845W
Marcelline, Adams, 400705N, 0912202W
Batchtown, Calhoun, 390159N, 0903927W
Marcoe, Jefferson, 381601N, 0885759W
Bates, Sangamon, 394327N, 0895058W
Marcus, Carroll, 420930N, 0901145W
Batestown, Vermilion, 400712N, 0874147W
Marengo, McHenry, 421455N, 0883630W
Bath, Mason, 401136N, 0900827W
Marietta, Fulton, 403004N, 0902333W
Baum, Greene, 391939N, 0901856W
Marigold, Randolph, 380447N, 0900023W
Bay City, Pope, 371456N, 0882948W
Marine, Madison, 384711N, 0894639W
Bay View Garden, Woodford, 404832N, 0893114W
Marion, Williamson, 374350N, 0885559W
Bayle City, Fayette, 390650N, 0890958W
Marissa, St Clair, 381500N, 0894500W
Baylestown, Macoupin, 390529N, 0895246W
Mark, Putnam, 411552N, 0891500W
Baylis, Pike, 394342N, 0905429W
Market Place, Cook, 420246N, 0875621W
Beach Station, Lake, 422516N, 0875057W
Markham, Cook, 413537N, 0874141W
Beamington, Sangamon, 394015N, 0893530W
Markham, Morgan, 394445N, 0901940W
Beardstown, Cass, 400103N, 0902527W
Marley, Edgar, 393046N, 0873654W
Bearsdale, Macon, 395349N, 0890040W
Marley, Will, 413255N, 0875532W
Beason, Logan, 400837N, 0891136W
Marlow, Jefferson, 381915N, 0884736W
Beaty, Fulton, 401630N, 0901445W
Maroa, Macon, 400211N, 0885725W
Beaucoup, Washington, 382059N, 0891731W
Marquette, Bureau, 411951N, 0891545W
Beaver Creek (Wisetown), Bond, 384603N, 0892337W
Marquette Heights, Tazewell, 403703N, 0893601W
Beaverton Crossroads, Boone, 422428N, 0884918W
Marseilles, La Salle, 411951N, 0884229W
Beaverville, Iroquois, 405716N, 0873916W
Marshall, Clark, 392329N, 0874137W
Beckemeyer, Clinton, 383620N, 0892609W
Marshall Landing, Calhoun, 385727N, 0903021W
Bedford, Pike, 393145N, 0903503W
Martin Landing, Calhoun, 385437N, 0903817W
Bedford Park, Cook, 414546N, 0874800W
Martinsburg, Pike, 393057N, 0905033W
Bee Creek, Pike, 392401N, 0903809W
Martinsville, Clark, 392008N, 0875255W
Beech Landing, Calhoun, 385825N, 0904021W
Martinton, Iroquois, 405457N, 0874331W
Beecher, Will, 412026N, 0873717W
Marydale, Clinton, 384151N, 0892219W
Beecher City, Effingham, 391117N, 0884712W
Maryland, Ogle, 420356N, 0893250W
Beechville, Calhoun, 385817N, 0903851W
Maryland Place, Madison, 384354N, 0900636W
Belden, McHenry, 422827N, 0882050W
Maryville, Madison, 384325N, 0895721W
Belgium, Vermilion, 400341N, 0873817W
Marywood, Kane, 414737N, 0881725W
Belgium Row, Vermilion, 400759N, 0874513W
Mascoutah, St Clair, 382925N, 0894735W
Belknap, Johnson, 371930N, 0885620W
Mason, Effingham, 385711N, 0883725W
Bell, Logan, 401131N, 0892315W
Mason City, Mason, 401208N, 0894153W
Bellair, Crawford, 390831N, 0875643W
Massbach, Jo Daviess, 421446N, 0900718W
Belle Prairie City, Hamilton, 381321N, 0883319W
Matanzas, Mason, 401352N, 0900558W
Belle Rive, Jefferson, 381358N, 0884426W
Matanzas Beach, Mason, 401435N, 0900614W
Belleview, Calhoun, 392103N, 0904652W
Matherville, Mercer, 411535N, 0903628W
Belleville, St Clair, 383112N, 0895902W
Matteson, Cook, 413014N, 0874247W
Bellevue, Peoria, 404104N, 0894048W
Matthews, Perry, 375803N, 0892226W
Bellflower, Mclean, 402024N, 0883137W
Matthews Junction, Jackson, 375709N, 0892226W
Bellmont, Wabash, 382304N, 0875441W
Matthews Junction, Perry, 375709N, 0892226W
Bells Landing, Fulton, 403016N, 0895307W
Mattoon, Coles, 392859N, 0882222W
Belltown, Greene, 392257N, 0902428W
Maud, Wabash, 382351N, 0875119W
Bellwood, Cook, 415253N, 0875259W
Maunie, White, 380208N, 0880244W
Belmont, Du Page, 414734N, 0880216W
Maxwell, Peoria, 404119N, 0894201W
Beltrees, Jersey, 385734N, 0901932W
Maxwell, Sangamon, 393759N, 0895357W
Belvidere, Boone, 421550N, 0885039W
Mayberry, Wayne, 381614N, 0883255W
Bement, Piatt, 395519N, 0883419W
Mays, Edgar, 393744N, 0874732W
Benld, Macoupin, 390534N, 0894814W
Maysville, Pike, 394227N, 0904757W
Bennett, Vermilion, 400351N, 0874822W
Maytown, Lee, 413742N, 0892204W
Bennett Landing, Union, 373202N, 0892954W
Mayview, Champaign, 400648N, 0880637W
Bennington, Edwards, 383127N, 0880753W
Maywood, Cook, 415245N, 0875035W
Bensenville, Du Page, 415718N, 0875624W
Mazon, Grundy, 411429N, 0882510W
Benson, Woodford, 405102N, 0890720W
Mazonia, Grundy, 411233N, 0881652W
Bentley, Hancock, 402040N, 0910642W
Mc*nabb, Putnam, 411037N, 0891233W
Benton, Franklin, 375948N, 0885512W
McCall, Hancock, 402710N, 0911149W
Benton Park, Franklin, 380335N, 0885453W
McCann Ford, Cumberland, 392224N, 0881037W
Bentown, Mclean, 402819N, 0884823W
McClay Orchard, Greene, 392800N, 0903130W
Benville, Brown, 395151N, 0905153W
McClure, Alexander, 371904N, 0892553W
Berdan, Greene, 392154N, 0902343W
McClusky, Jersey, 390236N, 0901913W
Berkeley, Cook, 415320N, 0875412W
McConnell, Stephenson, 422604N, 0894353W
Berkeley, Du Page, 415320N, 0875412W
McCook, Cook, 414752N, 0875041W
Berlin, Sangamon, 394532N, 0895411W
McCormick, Pope, 373302N, 0884014W
Bernice, Cook, 413445N, 0873253W
McCormick Place, Cook, 415110N, 0873642W
Berryville, Richland, 383558N, 0875543W
McCown, Edgar, 394757N, 0875541W
Berryville, Union, 372725N, 0891716W
McCullom Lake, McHenry, 422206N, 0881733W
Berwick, Warren, 404757N, 0903218W
McDowell, Livingston, 404950N, 0883506W
Berwyn, Cook, 415102N, 0874737W
McGirr, De Kalb, 414903N, 0884808W
Bessie, Franklin, 375950N, 0884845W
McHenry, McHenry, 422041N, 0881626W
Bethalto, Madison, 385433N, 0900226W
McHenry Shores, McHenry, 421908N, 0881529W
Bethany, Moultrie, 393844N, 0884417W
McKeen, Clark, 392730N, 0873650W
Bethel, Morgan, 394635N, 0902529W
McKinley, Washington, 381357N, 0893254W
Bethel, Vermilion, 395350N, 0873240W
McLean, Mclean, 401852N, 0891011W
Beverly, Adams, 394736N, 0905927W
McLeansboro, Hamilton, 380536N, 0883208W
Beverly Manor, Tazewell, 404142N, 0892803W
